image,viewpoint,light,weather,indoor,construction
3735-3744,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day,sun,indoor,none
3745-3754,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day,sun,indoor,none
3755-3764,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day,sun,indoor,none
3765-3774,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day,sun,indoor,none
3775-3784,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day,sun,indoor,none
3785-3794,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day,sun,indoor,none
3795-3804;3805-3814,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day;light,sun,indoor,none
3818-3827,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day,sun,outdoor,none
3828-3837,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day,sun,outdoor,none
3838-3847,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day,sun,outdoor,none
3848-3857;3858-3867,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day;night,sun,outdoor,none
3868-3877,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,night,sun,outdoor,none
3878-3887,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,night,sun,outdoor,none
4087-4096;3888-3897,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day;night,sun,outdoor,none
3898-3907,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,night,sun,outdoor,none
3908-3917,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,night,sun,outdoor,none
3918-3927,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,night,sun,outdoor,none
4068-4077;3928-3937,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day;night,sun,outdoor,none
4058-4067;3938-3947,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day;night,sun,outdoor,none
4028-4037;3948-3957,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day;night,sun,outdoor,none
4038-4047;3958-3967,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day;night,sun,outdoor,none
4018-4027;3968-3977,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day;night,sun,outdoor,none
4008-4017;3978-3987,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day;night,sun,outdoor,none
3997-4007,forward;up;down;left;right;left-up;right-up;left-down;right-down;zoom,day,sun,outdoor,none
