image,viewpoint,light,weather,indoor,construction,place
VPR/retrieval/data/images/converted_jpeg/IMG_3735.jpg,forward,day,sun,indoor,none,0
VPR/retrieval/data/images/converted_jpeg/IMG_3736.jpg,up,day,sun,indoor,none,0
VPR/retrieval/data/images/converted_jpeg/IMG_3737.jpg,down,day,sun,indoor,none,0
VPR/retrieval/data/images/converted_jpeg/IMG_3738.jpg,left,day,sun,indoor,none,0
VPR/retrieval/data/images/converted_jpeg/IMG_3739.jpg,right,day,sun,indoor,none,0
VPR/retrieval/data/images/converted_jpeg/IMG_3740.jpg,left-up,day,sun,indoor,none,0
VPR/retrieval/data/images/converted_jpeg/IMG_3741.jpg,right-up,day,sun,indoor,none,0
VPR/retrieval/data/images/converted_jpeg/IMG_3742.jpg,left-down,day,sun,indoor,none,0
VPR/retrieval/data/images/converted_jpeg/IMG_3743.jpg,right-down,day,sun,indoor,none,0
VPR/retrieval/data/images/converted_jpeg/IMG_3744.jpg,zoom,day,sun,indoor,none,0
VPR/retrieval/data/images/converted_jpeg/IMG_3745.jpg,forward,day,sun,indoor,none,1
VPR/retrieval/data/images/converted_jpeg/IMG_3746.jpg,up,day,sun,indoor,none,1
VPR/retrieval/data/images/converted_jpeg/IMG_3747.jpg,down,day,sun,indoor,none,1
VPR/retrieval/data/images/converted_jpeg/IMG_3748.jpg,left,day,sun,indoor,none,1
VPR/retrieval/data/images/converted_jpeg/IMG_3749.jpg,right,day,sun,indoor,none,1
VPR/retrieval/data/images/converted_jpeg/IMG_3750.jpg,left-up,day,sun,indoor,none,1
VPR/retrieval/data/images/converted_jpeg/IMG_3751.jpg,right-up,day,sun,indoor,none,1
VPR/retrieval/data/images/converted_jpeg/IMG_3752.jpg,left-down,day,sun,indoor,none,1
VPR/retrieval/data/images/converted_jpeg/IMG_3753.jpg,right-down,day,sun,indoor,none,1
VPR/retrieval/data/images/converted_jpeg/IMG_3754.jpg,zoom,day,sun,indoor,none,1
VPR/retrieval/data/images/converted_jpeg/IMG_3755.jpg,forward,day,sun,indoor,none,2
VPR/retrieval/data/images/converted_jpeg/IMG_3756.jpg,up,day,sun,indoor,none,2
VPR/retrieval/data/images/converted_jpeg/IMG_3757.jpg,down,day,sun,indoor,none,2
VPR/retrieval/data/images/converted_jpeg/IMG_3758.jpg,left,day,sun,indoor,none,2
VPR/retrieval/data/images/converted_jpeg/IMG_3759.jpg,right,day,sun,indoor,none,2
VPR/retrieval/data/images/converted_jpeg/IMG_3760.jpg,left-up,day,sun,indoor,none,2
VPR/retrieval/data/images/converted_jpeg/IMG_3761.jpg,right-up,day,sun,indoor,none,2
VPR/retrieval/data/images/converted_jpeg/IMG_3762.jpg,left-down,day,sun,indoor,none,2
VPR/retrieval/data/images/converted_jpeg/IMG_3763.jpg,right-down,day,sun,indoor,none,2
VPR/retrieval/data/images/converted_jpeg/IMG_3764.jpg,zoom,day,sun,indoor,none,2
VPR/retrieval/data/images/converted_jpeg/IMG_3765.jpg,forward,day,sun,indoor,none,3
VPR/retrieval/data/images/converted_jpeg/IMG_3766.jpg,up,day,sun,indoor,none,3
VPR/retrieval/data/images/converted_jpeg/IMG_3767.jpg,down,day,sun,indoor,none,3
VPR/retrieval/data/images/converted_jpeg/IMG_3768.jpg,left,day,sun,indoor,none,3
VPR/retrieval/data/images/converted_jpeg/IMG_3769.jpg,right,day,sun,indoor,none,3
VPR/retrieval/data/images/converted_jpeg/IMG_3770.jpg,left-up,day,sun,indoor,none,3
VPR/retrieval/data/images/converted_jpeg/IMG_3771.jpg,right-up,day,sun,indoor,none,3
VPR/retrieval/data/images/converted_jpeg/IMG_3772.jpg,left-down,day,sun,indoor,none,3
VPR/retrieval/data/images/converted_jpeg/IMG_3773.jpg,right-down,day,sun,indoor,none,3
VPR/retrieval/data/images/converted_jpeg/IMG_3774.jpg,zoom,day,sun,indoor,none,3
